Category,Level,Subfolder,ViewName,GUID,CommentID,Status,User,Body,CreatedDate,ImagePath
CLASHES ,LEVEL 2 ,,TAG 18 PL OUT OF WALL ,5985f151-5781-42fd-936a-6dce969de723,18,new,abner,PIPES OUT OF THE WALL,2025/09/16,vp0051.jpg
CLASHES ,LEVEL 2 ,,TAG 19 MISSING FP NOT SPACE,26cbad2d-94cf-4bc5-8ecb-b3588b3a4bd4,19,new,abner,"CEILING CAVITY 1'-1"". MISSING FIRE LINES AND EXISTING CONFLICT WITH LIGHTS AND PLUMBING PIPES ",2025/09/16,vp0052.jpg
CLASHES ,LEVEL 2 ,,TAG 20 LIGHT VS DUCT,ce806c8f-5b21-486f-b506-73d20f06056a,20,new,abner,LIGHT IN CONFLICT WITH DUCTWORK ,2025/09/16,vp0053.jpg
CLASHES ,LEVEL 2 ,,TAG 21 MD VS EE VS PL ,18e71ebe-ef8d-4ee4-a9ca-0a8a306cc998,21,new,abner,"CONFLICT BETWEEN DUCT, LIGHT AND PIPES, FIRE IS MISSING ",2025/09/16,vp0054.jpg
CLASHES ,LEVEL 2 ,,TAG 22 MD VS WALL AND PIPE ,538924a7-b7c9-4574-b014-98fdf9c5a20a,,,,,,vp0055.jpg
CLASHES ,LEVEL 2 ,,TAG 23 PL BELOW CEILING ,5d04be8d-8c95-4372-9904-95f25ef4756a,23,new,abner,PIPE BELOW CEILING,2025/09/16,vp0056.jpg
CLASHES ,LEVEL 2 ,,TAG 24 PL VS EE,aa966c2a-2e61-44b0-956f-8f550383a5ee,24,new,abner,LIGHT IN CONFLICT WITH PIPES,2025/09/16,vp0057.jpg
CLASHES ,LEVEL 2 ,,TAG 25 PL BELOW CEILING ,375be9d5-de70-41b7-8d7d-a4cff45c6ae6,25,new,abner,PIPES BELOW CEILING ,2025/09/16,vp0058.jpg
CLASHES ,LEVEL 3-7,,TAG 26 PL VS EE,5097f62e-6052-4cee-a242-f465cd60cba6,26,new,abner,CONFLICT WITH LIGHT ,2025/09/16,vp0059.jpg
CLASHES ,LEVEL 3-7,,TAG 27 MD VS PL ,e82ff5c5-b04e-4fcb-8bb5-aca36645c05f,27,new,abner,CONFLICT WITH DIFFUSER AND PLUMBING PIPES ,2025/09/16,vp0060.jpg
CLASHES ,LEVEL 3-7,,TAG 28 PL VS EE,b0f1bfa9-f112-419b-b8da-bb85cc83029d,28,new,abner,PIPE IN CONFLICT WITH LICHTS,2025/09/16,vp0061.jpg
CLASHES ,LEVEL 3-7,,TAG 29 PL VS MD ,aebefd62-6c29-4388-be00-e5281d71363f,29,new,abner,PIPE IN CONFLICT WITH DUCTWORK ,2025/09/16,vp0062.jpg
CLASHES ,LEVEL 3-7,,TAG 30 PL VS EE VS MD ,46f16322-e43e-465d-b678-edb133f8efa3,30,new,abner,PIPE IN CONFLICT WITH LICHTS AND DIFFUSER,2025/09/16,vp0063.jpg
CLASHES ,LEVEL 3-7,,TAG 31 PL BELOW CEILING ,6d8a9b5f-1e27-4bff-9b22-d4216f01c5f5,31,new,abner,PIPES BELOW THE CEILING ,2025/09/16,vp0064.jpg
CLASHES ,LEVEL 3-7,,TAG 32 PL VS EE,aad4ba6c-77b7-4fba-a28d-fdefd5bbdd3d,32,new,abner,PIPE IN CONFLICT WITH LICHTS,2025/09/16,vp0065.jpg
CLASHES ,LEVEL 3-7,,TAG 33 MD VS LIGHT ,0570fb3d-350b-4050-ab73-0b1b97327ad7,33,new,abner,DUCTWORK IN CONFLICT WITH LICHTS,2025/09/16,vp0066.jpg
CLASHES ,LEVEL 3-7,,TAG 34 PL VS MD ,99abbcba-5f19-412e-9ff7-559ec7dfcabb,34,new,abner,PIPE IN CONFLICT WITH DUCTWORK ,2025/09/16,vp0067.jpg
CLASHES ,LEVEL 3-7,,TAG 35 PL BELOW CEILING ,1989659c-5ba8-4bc4-b2a2-89fc42900773,35,new,abner,PIPE BELOW CEILING ,2025/09/16,vp0068.jpg
CLASHES ,LEVEL 3-7,,TAG 36 PL OUT OF WALL ,ab75ff88-a67e-41d7-b0e4-13f6d9291572,36,new,abner,PIPE OUT OF THE WALL ,2025/09/16,vp0069.jpg
CLASHES ,LEVEL 3-7,,TAG 37 PL BELOW CEILING ,fd0e8e20-0255-402c-9cc4-4cd0908812b3,37,new,abner,PIPE BELOW CEILING ,2025/09/16,vp0070.jpg
CLASHES ,LEVEL 3-7,,TAG 38 MD VS EE,024deaf7-0b2e-4c13-bb65-b59dc63e873c,38,new,abner,DUCTWORK IN CONFLICT WITH LIGHT ,2025/09/16,vp0071.jpg
CLASHES ,LEVEL 3-7,,TAG 39 MD VS PL ,82f27835-7b4b-440d-8216-242c16c4b9b2,39,new,abner,DUCTWORK IN CONFLICT WITH PIPES ,2025/09/16,vp0072.jpg
CLASHES ,LEVEL 8 ,,TAG 40 PL IN CONFLICT ,ce0fabb7-1e4a-4e95-9bd7-9321433ef92d,40,new,abner,PIPE IN CONFLICT WITH SLAB,2025/09/16,vp0073.jpg
CLASHES ,LEVEL 8 ,,TAG 41 PL VS MD ,2343a128-e5fb-4af7-a5ca-7820919a75d7,41,new,abner,PLUMBING AND DUCTWORK IN CONFLICT ,2025/09/16,vp0074.jpg
CLASHES ,LEVEL 8 ,,TAG 42 MD ,3dd92545-dfc2-4c35-8192-e0aaef8197ea,42,new,abner,MISSING DUCTWORK IN THE MODEL ,2025/09/16,vp0075.jpg
